time,X,Y,Z
1662736918697,-235,25,-68
1662736918698,-234,24,-68
1662736918698,-233,25,-68
1662736918699,-233,25,-70
1662736918699,-233,24,-70
1662736918700,-233,23,-69
1662736918700,-235,24,-68
1662736918701,-234,24,-69
1662736918701,-234,25,-68
1662736918702,-233,24,-69
1662736918702,-233,25,-69
1662736918703,-233,25,-68
1662736918703,-234,27,-69
1662736918704,-235,27,-69
1662736918704,-234,26,-69
1662736918705,-234,26,-69
1662736918705,-235,26,-69
1662736918706,-235,25,-69
1662736918706,-235,26,-69
1662736918707,-235,26,-70
1662736918707,-234,28,-69
1662736918708,-234,27,-69
1662736918708,-234,26,-69
1662736918709,-234,27,-70
1662736918709,-235,28,-71
1662736918710,-234,28,-69
1662736918710,-235,28,-70
1662736918711,-235,27,-71
1662736918711,-235,27,-69
1662736918712,-236,28,-69
1662736918712,-236,28,-70
1662736918713,-236,27,-71
1662736918713,-234,27,-70
1662736918714,-236,28,-69
1662736918714,-236,28,-70
1662736918715,-235,28,-70
1662736918715,-236,28,-70
1662736918716,-235,28,-70
1662736918716,-235,27,-71
1662736918717,-235,27,-71
1662736918717,-234,28,-70
1662736918718,-234,28,-70
1662736918718,-234,29,-72
1662736918719,-236,28,-71
1662736918719,-234,30,-70
1662736918720,-235,29,-70
1662736918720,-235,29,-70
1662736918721,-234,28,-72
1662736918721,-235,29,-72
1662736918722,-233,30,-70
1662736918722,-233,29,-70
1662736918723,-234,29,-71
1662736918723,-233,28,-71
1662736918724,-235,29,-72
1662736918724,-234,29,-71
1662736918725,-234,29,-71
1662736918725,-235,29,-71
1662736918726,-234,29,-72
1662736918726,-234,29,-73
1662736918727,-234,29,-71
1662736918727,-235,29,-70
1662736918728,-236,28,-72
1662736918728,-235,28,-71
1662736918729,-234,28,-73
1662736918729,-235,28,-73
1662736918730,-235,28,-72
1662736918730,-233,28,-72
1662736918731,-235,28,-72
1662736918731,-236,27,-72
1662736918732,-236,28,-72
1662736918732,-235,27,-72
1662736918733,-235,28,-71
1662736918733,-236,28,-72
1662736918734,-236,27,-72
1662736918734,-236,26,-72
1662736918735,-235,26,-72
1662736918735,-236,26,-71
1662736918736,-236,26,-72
1662736918736,-236,27,-72
1662736918737,-237,26,-73
1662736918737,-238,25,-72
1662736918738,-236,27,-72
1662736918738,-237,26,-72
1662736918739,-236,26,-71
1662736918739,-236,27,-70
1662736918740,-235,26,-71
1662736918740,-236,25,-70
1662736918741,-236,26,-71
1662736918741,-237,27,-71
1662736918742,-236,26,-71
1662736918742,-237,27,-72
1662736918743,-237,27,-70
1662736918743,-237,25,-72
1662736918744,-237,25,-72
1662736918744,-239,27,-72
1662736918745,-238,27,-71
1662736918745,-238,26,-72
1662736918746,-239,27,-73
1662736918746,-237,27,-72
1662736918747,-238,26,-71
1662736918747,-239,27,-71
1662736918748,-238,27,-72
1662736918748,-238,25,-72
1662736918749,-238,28,-72
1662736918749,-238,27,-73
1662736918750,-238,27,-71
1662736918750,-239,26,-73
1662736918751,-237,26,-72
1662736918751,-238,26,-72
1662736918752,-238,26,-71
1662736918752,-238,26,-71
1662736918752,-237,26,-73
1662736918753,-237,25,-73
1662736918753,-238,27,-72
1662736918754,-237,27,-73
1662736918754,-237,27,-71
1662736918755,-237,27,-72
1662736918755,-239,27,-72
1662736918756,-237,26,-71
1662736918756,-238,26,-71
1662736918757,-237,27,-72
1662736918757,-237,26,-71
1662736918758,-238,25,-71
